ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number"
132980,S55,"DSM 100509, CECT 8791, NBRC 111238",1,"Terracidiphilus gabretensis",GCA_001449115
6291,"1344-199, ID 3871","DSM 44267, CCM 4701, CIP 105511, IFO 16165, IMET 7848, NBRC 16165, JCM 10981, ATCC 700812, CCUG 39186, CCUG 43285, IAM 15303, IMSNU 22113, KCTC 9823",1,"Terracoccus luteus",GCA_003635045
23755,YI7-61,"DSM 28352, CGMCC 1.8913, NBRC 105790",1,"Terribacillus aidingensis",GCA_900215625
1517,CL-GR16,"DSM 18252, KCCM 42329",1,"Terribacillus goriensis",GCA_002884435
1518,002-051,"DSM 21620, IAM 15310, JCM 21760, KCTC 13937, CGMCC 1.7684",1,"Terribacillus halophilus",GCA_900101385
134,,"DSM 18391, NRRL B-41598, KBS 63",1,"Terriglobus roseus",GCA_000265425
135,SP1PR4,"DSM 23119, ATCC BAA 1853",1,"Terriglobus saanensis",GCA_000179915
140911,NK26-11,"LMG 27803, TISTR 2241, PCU 335",1,"Terrilactibacillus laevilacticus",GCA_006517395
17755,3576,"DSM 30193, ATCC 13524, IAM 15098, LMG 4021, NBRC 14992, CCUG 33443, JCM 21559, BCRC 17944, IFO 14992, LMG 10403, NCIMB 11299",1,"Terrimonas ferruginea",GCA_000425585
2596,,"DSM 1288, ATCC 14880, BCRC 14553, JCM 1401, NCIMB 10632, NCTC 13026",1,"Terrisporobacter glycolicus",GCA_000373865
,,,,,GCA_000439105
2757,SFC-5,"DSM 6539, ATCC 51428",1,"Terrisporobacter mayombei",GCA_020748465
23112,1P05MA,"DSM 30849, JCM 31985, NRRL B-59547",1,"Tersicoccus phoenicis",GCA_001968835
133304,36A,"KCTC 33776, CGMCC 1.15480",1,"Tersicoccus solisilvae",GCA_014643255
158783,NSG39,"KACC 17540, JCM 19289",1,"Tessaracoccus aquimaris",GCA_001997345
12664,KSBR1,"DSM 12906, ACM 5119, JCM 13525, Ben 106, CGMCC 1.10443, CGMCC 1.6780",1,"Tessaracoccus bendigoensis",GCA_900141915
162034,,"JCM 17540, KEMB 5401-076",1,"Tessaracoccus defluvii",GCA_014489575
132480,RP1,"DSM 100159, KCTC 39686, MCC 2769",1,"Tessaracoccus flavus",GCA_001997295
,,,,,GCA_900107385
130546,"NR2A-7, IPBSL-7","DSM 27266, CECT 8385",1,"Tessaracoccus lapidicaptus",GCA_001693815
12668,SL014B-20A1,"DSM 22955, CGMCC 1.9159",1,"Tessaracoccus oleiagri",GCA_900103275
132379,,"DSM 27597, CCTCC AB 2013217, YIM 101269, JCM 33580, DSM 27579",1,"Tessaracoccus rhinocerotis",GCA_007197885
132402,ELNT2x,"DSM 28140, CCUG 65146",1,"Testudinibacter aquarius",GCA_004342725
,,,,,GCA_006227605
,,,,,GCA_009761355
5260,T5,"DSM 23766, LMG 26042, JCM 31127",1,"Tetragenococcus halophilus subsp. flandriensis",GCA_002922845
,,,,,GCA_003795105
5255,T11,"DSM 20339, ATCC 33315, IAM 1676, LMG 11490, NCDO 1635, CCUG 32204, CCM 3458, TC 1, JCM 5888, BCRC 12550, CECT 4792, CIP 102263, IAM 12284, NBRC 100498, NCFB 1635, NCIMB 12011",1,"Tetragenococcus halophilus",GCA_003841405
5254,,"DSM 20338, IFO 12172, NBRC 12172, NCDO 1872, NCIB 9735, JCM 20259, IAM 1693, NCIMB 9735, NISL 7117",0,"Tetragenococcus halophilus subsp. halophilus",GCA_000283615
5258,"Jenil, JS","CCUG 52901, DSM 16501, KCTC 3924, LMG 22864, JCM 18085, CIP 108884, NBRC 106072",1,"Tetragenococcus koreensis",GCA_003795145
,,,,,GCA_007991535
5257,X-1,"DSM 15685, JCM 10006, CCUG 41880, CIP 105747, LMG 18498, KCTC 21008, NBRC 100499",1,"Tetragenococcus muriaticus",GCA_000423785
5259,T1,"DSM 23765, LMG 26041, LMG 10702, JCM 31126",1,"Tetragenococcus osmophilus",GCA_003795125
5256,885/78,"CCUG 29293, LMG 12890, CIP 103330, JCM 8736, DSM 5634, ATCC 49428, NCTC 12193, CCM 4217, CDC 885-78, KCTC 3553, KCTC 3923, NBRC 100494, NCIMB 12902",1,"Tetragenococcus solitarius",GCA_001544195
6297,T1-X7,"DSM 13192, ACM 5116, IAM 14891, JCM 21381, KCTC 39583, NBRC 103088",1,"Tetrasphaera japonica",GCA_001046855
23769,13CC,"DSM 24696, JCM 17654",1,"Texcoconibacillus texcoconensis",GCA_014202575
1392,HS286,"DSM 21635, CCM 7597, JCM 15722",1,"Thalassobacillus cyri",GCA_900107755
1391,G-19.1,"DSM 16966, CCM 7282, CECT 7046",1,"Thalassobacillus devorans",GCA_011761345
,,,,,GCA_014635125
1393,"18 OM, 18OM","DSM 22784, CECT 7566, JCM 16412",1,"Thalassobacillus pellis",GCA_016908295
162369,,"JCM 19033",0,"Thalassobacillus sp.",GCA_001310615
141073,HSF7,"KCTC 42651, MCCC 1K01158",1,"Thalassobaculum fulvum",GCA_014652915
14021,CL-GR58,"DSM 18839, KCCM 42674",1,"Thalassobaculum litoreum",GCA_900102465
14020,CZ41_10a,"DSM 19539, CIP 109604, MOLA 84, OOB 84",1,"Thalassobaculum salexigens",GCA_000423805
13801,B6,"DSM 5887, ATCC 25655, CECT 4357, IAM 12617, JCM 20688, CIP 105976, IFO 15761, LMG 129, LMG 8174, NBRC 15761, NCIMB 2206",1,"Thalassobius gelatinovorus",GCA_001458355
,,,,,GCA_900111045
130638,KU5D5,"DSM 29506, JCM 17792, KCTC 23660",1,"Thalassobius litoralis",GCA_900182725
13802,XSM19,"DSM 16398, CCUG 49438, CECT 5383, CIP 108400",1,"Thalassobius mediterraneus",GCA_001458435
,,,,,GCA_900156595
13859,G4,"DSM 22007, KACC 13706",1,"Thalassobius taeanensis",GCA_900110775
23237,UST050418-052,"DSM 26915, JCM 13833, NRRL B-41465, CIP 109727, KCTC 22637",1,"Thalassococcus halodurans",GCA_900108225
164142,WRAS1,"JCM 31873, CGMCC 1.16123, KCTC 52696, MCCC 1K03253",1,"Thalassococcus profundi",GCA_003344785
166391,Mal48,"DSM 100737, LMG 29019",1,"Thalassoglobus polymorphus",GCA_007744255
11294,Mil-1,"DSM 14913, LMG 21420",1,"Thalassolituus oleivorans",GCA_000355675
133421,A5K-106,"MBIC 08328, NCIMB 14418, NBRC 104231",1,"Thalassomonas actiniarum",GCA_000948975
2881,XOM25,"DSM 13754, CECT 5083",1,"Thalassomonas viridans",GCA_000948985
166506,BH-SD16,"CCTCC AB 2017073, KCTC 62201",1,"Thalassorhabdomicrobium marinisediminis",GCA_003072065
162358,,"JCM 18968, CECT 8273",1,"Thalassospira alkalitolerans",GCA_002115745
13965,QMT2,"DSM 14000, CECT 5290",1,"Thalassospira lucentensis",GCA_000421265
,,,,,GCA_003326595
159890,CSC3H3,"MCCC 1A11786, KCTC 62333",1,"Thalassospira marina",GCA_002844375
162359,,"JCM 18969, CECT 8274",1,"Thalassospira mesophila",GCA_002115755
130657,GB04J01,"DSM 28654",0,"Thalassospira sp.",GCA_000751115
13968,1-1B,"DSM 18888, JCM 14578",1,"Thalassospira tepidiphila",GCA_011927685
13966,M-5,"DSM 17429, CGMCC 1.3998, CIP 109533",1,"Thalassospira xiamenensis",GCA_000300235
,,,,,GCA_900156715
2883,,"DSM 19706, BCRC 17492, JCM 13379, TMA 1",1,"Thalassotalea agarivorans",GCA_900111755
140539,LPB0090,"KACC 18695, JCM 31189",1,"Thalassotalea crassostreae",GCA_001652445
,,,,,GCA_001831495
166266,ZS-4,"KCTC 72399, MCCC 1K03630",1,"Thalassotalea mangrovi",GCA_005116735
23867,T202,"DSM 26287, JCM 18590, KCTC 32144",1,"Thalassotalea piscium",GCA_014207645
140797,,"KACC 18563, CGMCC 1.15922, YM 155",1,"Thalassotalea profundi",GCA_014653195
13917,S2,"DSM 14742, LMG 26917",1,"Thauera aminoaromatica",GCA_000310185
13908,K172,"DSM 6984, CIP 107765",1,"Thauera aromatica",GCA_003030465
13921,"Bu B1211","DSM 2080, ATCC 43655, IAM 12574, CCUG 51053, JCM 20651, NBRC 103042",1,"Thauera butanivorans",GCA_001591165
13920,3CB-1,"DSM 18012, ATCC 700723, CIP 107679, KCTC 12933",1,"Thauera chlorobenzoica",GCA_900108255
130655,SgZ-1,"DSM 100429, CCTCC M 2011497, KACC 16524",1,"Thauera humireducens",GCA_001051995
159755,GD-2,"NBRC 112472, CGMCC 1.15527",1,"Pseudothauera hydrothermalis",GCA_003345255
166272,D20,"MCCC 1H00305, KCTC 62586",1,"Pseudothauera lacus",GCA_003034845
13913,47Lol,"DSM 12138, CCUG 41526, JCM 21573, CIP 105981, IAM 15112",1,"Thauera linaloolentis",GCA_000310205
,,,,,GCA_000621305
13918,B4P,"DSM 14743, LMG 26918",1,"Thauera phenylacetica",GCA_000310225
158596,KNDSS-Mac4,"KCTC 52820, VTCC B-910017",1,"Thauera propionica",GCA_002245655
130652,27,"DSM 14974",0,"Thauera sp.",GCA_000310125
130653,28,"DSM 14975",0,"Thauera sp.",GCA_000310145
161213,,"JCM 12309",0,"Thauera sp.",GCA_001310835
13914,58Eu,"CCUG 41527, DSM 12139",1,"Thauera terpenica",GCA_000443165
158346,C4V358,"DSM 101555, JCM 31630",1,"Thaumasiovibrio subtropicus",GCA_019703835
23328,PB,"DSM 26808, DSM 12270",1,"Thermacetogenium phaeum",GCA_000305935
,,,,,GCA_000519285
161614,,"JCM 15650, ATCC BAA 1731",1,"Thermaerobacter composti",GCA_001311965
18040,7p75a,"DSM 12885, JCM 10246, ATCC 700841",1,"Thermaerobacter marianensis",GCA_000184705
18041,C21,"DSM 13965, ATCC BAA 137",1,"Thermaerobacter subterraneus",GCA_000183545
16802,ToBE,"DSM 14490, JCM 11376, NBRC 101528",1,"Thermanaeromonas toyohensis",GCA_900176005
131287,GNS-1,"DSM 23592, JCM 16980",1,"Thermanaerothrix daxensis",GCA_001306145
17780,Su883,"DSM 6589, ATCC 49978",1,"Thermanaerovibrio acidaminovorans",GCA_000024905
17781,Z-9701,"DSM 12556",1,"Thermanaerovibrio velox",GCA_000237825
11163,I3,"DSM 22891, JCM 16421",1,"Thermasporomyces composti",GCA_003386795
160363,LA,"DSM 106522, JCM 31826",1,"Thermaurantimonas aggregans",GCA_003851885
18123,ET-5b,"DSM 12793",1,"Thermicanus aegyptius",GCA_000510645
11788,Z-0001,"DSM 14005, VKM B-2307",1,"Thermincola ferriacetica",GCA_001263415
16736,,"DSM 3134, ATCC 43215",1,"Thermithiobacillus tepidarius",GCA_000423825
24642,H-18,"DSM 45914, CICC 10681",1,"Thermoactinomyces daqus",GCA_000763315
16777,T-323,"DSM 43846, ATCC 33205, DSM 44011, IFO 14230, JCM 3312, KCC A-0312, NBRC 14230, KCTC 3665, KCTC 9646, NRRL B-16979, VKM Ac-1427",1,"Thermoactinomyces intermedius",GCA_016055025
159902,AMNI-1,"DSM 110094, LMG 31503",0,"Thermoactinomyces mirandus",GCA_013868055
16755,MVD,"DSM 43016, ATCC 43649, CBS 505.77, CUB 250, IFO 13606, JCM 3162, KCC A-0162, NBRC 13606, BCRC 12466, CCM 3266, CECT 3317, IFM 10563, IMET 9711, KCTC 9076, MTCC 938, NCIMB 11364, PCM 2376, VKM Ac-1195, VTT E-81131",1,"Thermoactinomyces vulgaris",GCA_003688725
16631,,"DSM 45614, CCTCC AA 2011014, YIM 77501, JCM 17697",1,"Thermoactinospora rubra",GCA_002093975
16833,AKo-1,"DSM 3389",1,"Thermoanaerobacter brockii subsp. finnii",GCA_000175295
16837,Ab9,"DSM 9252, JCM 16815",1,"Thermoanaerobacter italicus",GCA_000025645
16823,LKT-1,"DSM 2030, ATCC 33488",1,"Thermoanaerobacter kivui",GCA_000763575
16842,A3,"DSM 11426, CIP 108742, CCUG 53645, AIP 130.05",1,"Thermoanaerobacter mathranii",GCA_000092965
16848,39E,"DSM 2355, ATCC 33223",1,"Thermoanaerobacter pseudethanolicus",GCA_000019085
16844,SR4,"DSM 12299",1,"Thermoanaerobacter siderophilus",GCA_000262445
165540,,"JCM 7501, ATCC 51646, IAM 13577",1,"Thermoanaerobacter thermocopriae",GCA_000518565
,,,,,GCA_001310975
16826,"L 77-66","DSM 569",0,"Thermoanaerobacter thermohydrosulfuricus",GCA_900102395
16829,Sol1,"DSM 7021",0,"Thermoanaerobacter thermohydrosulfuricus",GCA_900112905
23329,WC1,"DSM 26960",0,"Thermoanaerobacter thermohydrosulfuricus",GCA_000353265
16847,JW/IW-010,"DSM 18761, ATCC BAA 1464",1,"Thermoanaerobacter uzonensis",GCA_900129115
16841,Rt8.B1,"DSM 10319",1,"Thermoanaerobacter wiegelii",GCA_000147695
140089,USBA-19,"DSM 101588, CMPUJ U-019",1,"Thermoanaerobacterium butyriciformans",GCA_017874545
18044,"McClung 2032, 2032","DSM 571, ATCC 7956, NCA 3814, NCIMB 9385, WDCM 00135",1,"Thermoanaerobacterium thermosaccharolyticum",GCA_000145615
18051,LX-11,"DSM 7097",1,"Thermoanaerobacterium xylanolyticum",GCA_000189775
24773,MP-01,"DSM 24856, JCM 18256",1,"Thermoanaerobaculum aquaticum",GCA_000687145
11666,KWC4,"DSM 18247, JCM 13945",1,"Thermobacillus composti",GCA_000227705
11260,TB100,"DSM 44535, JCM 11767, NCAIM B 01997, NCAIM B.01997",1,"Thermobifida cellulosilytica",GCA_001517975
11256,"190 Th","DSM 43792, ATCC 27730, CUB 1000, IFO 14071, JCM 3263, NBRC 14071, NCIB 11185, BCRC 12532, CECT 3320, CIP 105594, HAMBI 1548, HAMBI 483, IMSNU 22189, KCTC 9052, MTCC 1754, NCIMB 11185, NRRL B-8184, VKM Ac-1952",1,"Thermobifida fusca",GCA_001313945
,,,,,GCA_001592045
11261,,"DSM 44931, JCM 16012, KCTC 19123, YIM 90462",1,"Thermobifida halotolerans",GCA_001660385
,,,,,GCA_003574835
13495,R51,"DSM 43833, ATCC 19993, CBS 139.67, IFO 14880, NBRC 14880, JCM 10125, IMSNU 21333, KCTC 9307",1,"Thermobispora bispora",GCA_000092645
2516,JW/YL-NZ35,"DSM 8682",1,"Thermobrachium celere",GCA_000430995
16632,,"DSM 45615, CCTCC AA 2011013, YIM 77521, JCM 17698",1,"Thermocatellispora tengchongensis",GCA_014202315
23848,,"DSM 3771, ATCC 43061",1,"Thermochromatium tepidum",GCA_009664085
160866,,"JCM 10088",1,"Thermocladium modestius",GCA_001315925
,,,,,GCA_014646535
2854,,"DSM 19027, NBRC 102590, EBR 596",1,"Thermoclostridium caenicola",GCA_900142095
2777,C-17-70,"DSM 9219, ATCC 51338, IAM 13499, LMG 14474, JCM 9762",1,"Thermoclostridium stercorarium subsp. leptospartum",GCA_001697285
2773,,"DSM 8532, ATCC 35414, NCIMB 11754",1,"Thermoclostridium stercorarium",GCA_000331995
,,,,,GCA_000349885
2733,TX41,"DSM 2910, ATCC 43739",1,"Thermoclostridium stercorarium subsp. thermolacticum",GCA_001697245
2734,,"DSM 2911, TC 21, JCM 9324, ATCC 43738",0,"Thermoclostridium stercorarium subsp. thermolacticum",GCA_001310995
16869,MP,"DSM 11836",1,"Thermococcus barophilus",GCA_000151105
16887,SHCK-94,"DSM 17882, ATCC BAA 1085, JCM 12858, DSM 9535",1,"Thermococcus barossii",GCA_002214465
16860,"Vu 13","DSM 2476, JCM 8558, ATCC 35543",1,"Thermococcus celer",GCA_001315845
,,,,,GCA_002214365
16888,TS2,"DSM 17994, JCM 13640, NBRC 101555",1,"Thermococcus celericrescens",GCA_001484195
24652,CL1,"DSM 27260, KACC 17922",1,"Thermococcus cleftensis",GCA_000265525
16885,EJ3,"DSM 15229, JCM 11827",1,"Thermococcus gammatolerans",GCA_000022365
16872,W-12,"DSM 10395, ATCC 700654, JCM 10552",1,"Thermococcus gorgonarius",GCA_002214385
16875,TYS,"DSM 11113, JCM 10136",1,"Thermococcus guaymasensis",GCA_000816105
16862,NS-C,"DSM 5473, ATCC 51850, JCM 8560",1,"Thermococcus litoralis",GCA_000246985
160706,30-1,"DSM 112553, JCM 19601, CNCM 4275",1,"Thermococcus nautili",GCA_000585495
16871,P-4,"DSM 10394, ATCC 700653, JCM 10553",1,"Thermococcus pacificus",GCA_002214485
24653,ES1,"DSM 27261, KACC 17923",1,"Thermococcus paralvinellae",GCA_000517445
16868,OG-1,"DSM 10343, JCM 9653, ATCC 700098, CIP 104782",1,"Thermococcus peptonophilus",GCA_001315905
,,,,,GCA_001592435
16884,EJ2,"DSM 15228, JCM 11826",1,"Thermococcus radiotolerans",GCA_002214565
16880,"MM 739, B-2774","DSM 12597",1,"Thermococcus sibiricus",GCA_000022545
16873,RG-20,"DSM 12349, ATCC BAA 270",1,"Thermococcus siculi",GCA_002214505
16861,"BK17S-3-a9, P6","DSM 12593",0,"Thermococcus sp.",GCA_002214525
161191,,"JCM 11816",0,"Thermococcus sp.",GCA_001316165
16864,"8315-5, K-3","DSM 5262, JCM 8559",1,"Thermococcus stetteri",GCA_017873335
16881,OGL-20P,"DSM 14981, ATCC BAA 394, JCM 12859",1,"Thermococcus thioreducens",GCA_001418715
,,,,,GCA_002214545
,,,,,GCA_900109425
16878,AN1,"DSM 2770, JCM 10554, ATCC 700529",1,"Thermococcus zilligii",GCA_000258515
524,"HI 11/12","DSM 14484, JCM 11386",1,"Thermocrinis albus",GCA_000025605
525,CR11,"DSM 19557, ATCC BAA 1533",1,"Thermocrinis minervae",GCA_900142435
523,"OC 14/7/2, OC 1/4","DSM 23557",1,"Thermocrinis ruber",GCA_000512735
13496,CHB-77,"DSM 44070, ATCC 51797, IFO 15805, NBRC 15805, NCIMB 13402, JCM 9705, IMSNU 21252",1,"Thermocrispum agreste",GCA_000427905
13498,MKD-35,"DSM 44069, ATCC 51796, IFO 15806, NBRC 15806, NCIMB 13403, JCM 9704, IMSNU 21251, KACC 20057",1,"Thermocrispum municipale",GCA_000427825
16890,"AT1325, T1","DSM 21156, JCM 15391",1,"Thermodesulfatator atlanticus",GCA_000421585
132647,S606,"DSM 101864, MCCC 1A01871",1,"Thermodesulfatator autotrophicus",GCA_001642325
16889,"CIR 29812","DSM 15286, JCM 11887",1,"Thermodesulfatator indicus",GCA_000217795
133068,SF97,"DSM 102936, VKM B-2961",1,"Thermodesulfitimonas autotrophica",GCA_003815015
16891,YSRA-1,"DSM 2178, ATCC 33708, VKM B-1767",1,"Thermodesulfobacterium commune",GCA_000734015
,,,,,GCA_000746435
16893,JSP,"DSM 12571",1,"Thermodesulfobacterium hveragerdense",GCA_000423845
16894,SL6,"DSM 14290, JCM 11239",1,"Thermodesulfobacterium hydrogeniphilum",GCA_000746255
16895,7,"DSM 1276, VKM B-1128",1,"Thermodesulfobacterium thermophilum",GCA_000421605
140262,3127-1,"DSM 102892, VKM B-3043",1,"Thermodesulfobium acidiphilum",GCA_003057965
16898,Na82,"DSM 14796, JCM 11510, NBRC 100082",1,"Thermodesulfobium narugense",GCA_000212395
16677,A8444,"DSM 9990",1,"Thermodesulforhabdus norvegica",GCA_900114975
10540,TGE-P1,"DSM 17283, JCM 13213",1,"Thermodesulfovibrio aggregans",GCA_001312085
,,,,,GCA_001514535
10538,R1Ha3,"DSM 12570",1,"Thermodesulfovibrio islandicus",GCA_000482825
10541,TDV,"DSM 17215, JCM 13216",1,"Thermodesulfovibrio thiophilus",GCA_000423865
10537,YP87,"DSM 11347, ATCC 51303",1,"Thermodesulfovibrio yellowstonii",GCA_000020985
16903,"Hrk 5","DSM 2475",1,"Thermofilum pendens",GCA_000015225
24743,P373,"DSM 27268, ICMP 20041",1,"Thermoflavifilum aggregans",GCA_002797735
23393,STH-1-Y1,"DSM 14807, JCM 11541",1,"Thermoflavifilum thermophilum",GCA_900116565
16783,"114, N1595","DSM 44778, ATCC 49854, JCM 9688, KCTC 3667, NCIMB 10211, VKM Ac-1435, CUB 581",1,"Thermoflavimicrobium dichotomicum",GCA_900114055
3793,GEY,"DSM 9560, ATCC 23103",1,"Thermoflexibacter ruber",GCA_900113045
140665,JAD2,"JCM 19131, CCTCC AB 2014030",1,"Thermoflexus hugenholtzii",GCA_900187885
166502,A1-2,"NBRC 113123, CGMCC 1.13886",1,"Thermogemmatispora aurantia",GCA_008974285
24745,PM5,"DSM 45816, ATCC BAA 2534",1,"Thermogemmatispora carboxidivorans",GCA_000702505
140666,"ONI-1, ON1-1","KCTC 19768, JCM 16817, NBRC 111776",1,"Thermogemmatispora onikobensis",GCA_001748285
132428,1633,"DSM 22663, VKM B-2946",1,"Thermogladius calderae",GCA_000264495
131320,R1,"DSM 26237, VKM B-2805",1,"Thermogutta terrifontis",GCA_002277955
18138,IC-189,"DSM 18835, JCM 13583",1,"Thermogymnomonas acidicola",GCA_001316105
,,,,,GCA_014646795
23770,E265,"DSM 24979, NCIMB 14850",1,"Thermolongibacillus altinsuensis",GCA_004341205
16905,P-2,"DSM 5159, ATCC 27502",1,"Thermomicrobium roseum",GCA_000021685
17576,R-10289,"DSM 15424, LMG 21737",1,"Thermomonas fusca",GCA_000423885
17573,A50-7-3,"DSM 13605",1,"Thermomonas haemolytica",GCA_004346265
17577,SGM-6,"DSM 14834, ATCC BAA 470, CIP 108356",1,"Thermomonas hydrothermalis",GCA_900129205
130741,,"DSM 45822, CCTCC AA 2012024, YIM 77502, JCM 30324",1,"Thermomonospora amylolytica",GCA_003589885
157686,3-22-3,"DSM 46802, ATCC BAA 2627, CGMCC 4.7155",1,"Thermomonospora catenispora",GCA_006363815
130740,,"DSM 45823, CCTCC AA 2012023, YIM 77510, JCM 30326",1,"Thermomonospora cellulosilytica",GCA_014138835
16921,B9,"DSM 43183, ATCC 19995, CBS 141.67, IAM 14296, IMET 9551, JCM 3096, KCC A-0096, NCIMB 10081, CECT 3319, CIP 105592, HAMBI 1549, IFO 15933, IMSNU 22171, KACC 20052, KCTC 9072, NBIMCC 3643, NBRC 15933",1,"Thermomonospora curvata",GCA_000024385
16965,Mb3-1,"DSM 43163, ATCC 27300, IFO 14042, JCM 3148, NBRC 14042, BCRC 12547, CBS 263.72, HUT 6548, IMSNU 22163, KCTC 9313, MTCC 1544",1,"Thermomonospora echinospora",GCA_900108175
16974,,"DSM 43927, ATCC 49502, IFO 14346, IMET 9746, INA 2309, JCM 6837, NBRC 14346, VKM Ac-1086, CIP 105485, IMSNU 22165, KCTC 9343, NRRL B-16244",1,"Thermomonospora umbrina",GCA_003386555
5465,23/9,"DSM 5718, ATCC 43542",1,"Thermonema lapsum",GCA_011761635
5469,NR-27,"DSM 10300",1,"Thermonema rossianum",GCA_000426825
17817,HS1,"DSM 19012, CGMCCC 1.5071",1,"Thermophagus xiamenensis",GCA_000220155
,,,,,GCA_900112795
17017,122-1B2,"DSM 1728, ATCC 25905, AMRC C165, JCM 9062, IFO 15155, NBRC 15155",1,"Thermoplasma acidophilum",GCA_000195915
17018,"GSS 1, GSS1","DSM 4299, ATCC 51530, JCM 9571, IFO 15438, NBRC 15438",1,"Thermoplasma volcanium",GCA_000011185
16630,435,"DSM 43186, ATCC 35864, DSM 44514, IFO 14349, JCM 3056, KCC A-0056, NBRC 14349, NRRL B-24348, BCC 49486, BCRC 12531, CIP 107358, IFO 15179, IMET 9552, IMSNU 22184, KCTC 9270, NBRC 15179",1,"Nonomuraea flexuosa",GCA_006716785
,,,,,GCA_014647775
131131,KI4,"DSM 27169, ATCC BAA 2536",1,"Thermorudis peleae",GCA_000744775
18014,JW/YJL-1230-7/2,"DSM 16647, ATCC BAA 1035",1,"Thermosediminibacter litoriperuensis",GCA_008124715
18013,JW/IW-1228P,"DSM 16646, ATCC BAA 1034",1,"Thermosediminibacter oceani",GCA_000144645
17167,Nor1,"DSM 14886, VKM B-2281",1,"Thermosinus carboxydivorans",GCA_000169155
17059,ik275mar,"DSM 23112, VKM B-2574",1,"Thermosipho affectus",GCA_001990485
17052,Ob7,"DSM 5309",1,"Thermosipho africanus",GCA_003351105
132828,TCF52B,"DSM 24758",0,"Thermosipho africanus",GCA_000021285
17057,DV1140,"DSM 15807, CIP 108053",1,"Thermosipho atlanticus",GCA_900129985
17058,MN14,"DSM 19918, JCM 15059, NBRC 109617",1,"Thermosipho globiformans",GCA_003990895
17056,IHB1,"DSM 13481, JCM 10495",1,"Thermosipho japonicus",GCA_014201655
17055,BI429,"DSM 12029, CIP 104789",1,"Thermosipho melanesiensis",GCA_000016905
4205,M11TL,"DSM 11486",1,"Thermosphaera aggregans",GCA_000092185
133585,SK20-1,"JCM 16142, ATCC BAA 1881, NBRC 105916",1,"Thermosporothrix hazakensis",GCA_005402645
16920,"no. 577","DSM 43794, ATCC 43196, CUB 580, IFO 12465, IMRU N 2900, JCM 6244, NBRC 12465, NCIB 10212, IFO 16096, IMET 9529, IMSNU 22188, INMI 577, KACC 20094, KCTC 9242, NBRC 16096, NCIMB 10212, NRRL B-16983",1,"Thermostaphylospora chromogena",GCA_900099985
18094,ABI70S6,"DSM 17441, JCM 13301, NBRC 103674",1,"Thermosulfidibacter takaii",GCA_001547735
16897,S95,"DSM 24515, VKM B-2683",1,"Thermosulfurimonas dismutans",GCA_001652585
159186,SU872,"DSM 104922, VKM B-3177",1,"Thermosulfurimonas marina",GCA_012317585
140413,ST65,"DSM 102941, VKM B-2855",1,"Thermosulfuriphilus ammonigenes",GCA_011207455
,,,,,GCA_013761125
16694,JW/VS-265,"DSM 11003, ATCC 700317",1,"Thermosyntropha lipolytica",GCA_900129805
133444,B2-1,"KCTC 5625, JCM 15105, DSM 21119",1,"Thermotalea metallivorans",GCA_001562415
24656,AZM44c09,"DSM 23272, NBRC 106116",1,"Thermotoga caldifontis",GCA_000828655
17060,MSB8,"DSM 3109, JCM 10099, ATCC 43589, NBRC 100826",1,"Thermotoga maritima",GCA_000008545
,,,,,GCA_000230655
,,,,,GCA_000390265
,,,,,GCA_000978555
17061,NS-E,"DSM 4359, ATCC 49049, NBRC 107923",1,"Thermotoga neapolitana",GCA_000018945
17068,RKU-1,"DSM 13995, JCM 10881, ATCC BAA 488",1,"Thermotoga petrophila",GCA_000016785
24655,AZM34c06,"DSM 23275, NBRC 106115",1,"Thermotoga profunda",GCA_000828675
18093,AC55,"DSM 24660, JCM 17643, NBRC 107904",1,"Thermotomaculum hydrothermale",GCA_016592575
18064,R270,"DSM 21133, KCTC 5616",1,"Thermovenabulum gondwanense",GCA_001601575
17646,HB-1,"DSM 15698, JCM 12110",1,"Thermovibrio ammonificans",GCA_000185805
17647,SL19,"DSM 15521, JCM 12128",1,"Thermovibrio guaymasensis",GCA_003633715
17776,Cas60314,"DSM 17291, ATCC BAA 1197",1,"Thermovirga lienii",GCA_000233775
131403,,"DSM 25898, KCTC 32024, YIM 77409",1,"Thermus amyloliquefaciens",GCA_000744885
16730,HN3-7,"DSM 12462, JCM 19900, ATCC 700961, BCRC 17422",1,"Thermus antranikianii",GCA_000423905
16714,YT-1,"DSM 625, ATCC 25104, JCM 10724, LMG 8924, NBRC 103206, NCIMB 11243",1,"Thermus aquaticus",GCA_001280255
133484,TH92,"CGMCC 1.6992, JCM 15153",1,"Thermus arciformis",GCA_900102145
132856,GE-1,"DSM 104090",0,"Thermus brockianus",GCA_001880325
140694,,"NBRC 112415, CCTCC AB 2016305, YIM 73026",1,"Thermus caldifontis",GCA_003336745
16733,K-39,"DSM 21686, JCM 19902, NCAIM B 02340",1,"Thermus composti",GCA_014647535
16723,"Wai 33 A1","DSM 4687, ATCC 43280, JCM 11600, BCRC 17263, CCM 4200, NCIMB 12588",1,"Thermus filiformis",GCA_000771745
16727,RF-4,"DSM 12459, JCM 19899, ATCC 700962, BCRC 17264",1,"Thermus igniterrae",GCA_000376265
16732,,"DSM 21543, JCM 19901, PRI 3838, ATCC BAA 1677",1,"Thermus islandicus",GCA_000421625
